Home,Away,Home_Score,Away_Score,Tournament
UNC Wilmington,UNC,56,69,
North Florida,Gonzaga,63,104,
Northern Colorado,Houston,36,83,
Howard,Kentucky,63,95,
Mississippi Valley State,Baylor,53,117,
Omaha,Kansas,64,89,
Jacksonville,Duke,44,71,
Sacramento State,UCLA,50,76,
St. Thomas,Creighton,60,72,
North Dakota State,Arkansas,58,76,
Tennessee Tech,Tennessee,43,75,
UTEP,Texas,57,72,
Morehead State,Indiana,53,88,
Arkansas-Pine Bluff,TCU,72,73,
George Mason,Auburn,52,70,
La Salle,Villanova,68,81,
Nicholls State,Arizona,75,117,
North Carolina Central,Virginia,61,73,
Cal State Fullerton,San Diego State,57,80,
Longwood,Alabama,54,75,
Florida A&M,Oregon,45,80,
Purdue Fort Wayne,Michigan,56,75,
Eastern Illinois,Illinois,57,87,
Lindenwood,Dayton,46,73,
Northwestern State,Texas Tech,49,73,
Brescia,Middle Tennessee,52,79,
Kansas Christian,Prairie View,79,94,
Pacific,Stanford,78,88,
Valley Forge,James Madison,38,123,
Johnson & Wales (NC),UNC Greensboro,60,93,
Defiance,Oakland,27,92,
Warren Wilson,Appalachian State,74,142,
New Orleans,Butler,53,89,
Coppin State,Charlotte,59,82,
Loyola (MD),DePaul,66,72,
Fisher College,UMass-Lowell,43,108,
Milwaukee Engineering,Milwaukee,46,102,
Merrimack,St. John's (NY),72,97,
South Dakota State,Akron,80,81,
Alabama State,UAB,70,111,
Tarleton State,Arizona State,59,62,
Keystone,Army,65,110,
Earlham,Ball State,39,109,
Ohio,Belmont,69,70,
Cazenovia,Binghamton,56,87,
Northeastern,Boston University,63,72,
Air Force,Bowling Green State,58,62,
Thomas (ME),Bryant,39,147,
Lebanon Valley,Bucknell,52,113,
Colgate,Buffalo,87,88,
Youngstown State,Canisius,92,81,
Toccoa Falls,Charleston Southern,52,83,
Chaminade,Cincinnati,55,98,
The Citadel,Clemson,69,80,
Notre Dame (OH),Cleveland State,72,68,
St. Mary's (MD),Coastal Carolina,43,97,
Chattanooga,College of Charleston,78,85,
Stonehill,UConn,54,85,
Guilford,Davidson,64,87,
Wilmington (DE),Delaware,54,78,
Idaho,Denver,63,68,
Emory & Henry,ETSU,66,88,
Miami Middletown,Eastern Kentucky,52,137,
Wayne State (MI),Eastern Michigan,66,75,
Erskine,Elon,55,80,
Lynn,Florida Atlantic,46,81,
Houston Christian,Florida International,66,77,
Stetson,Florida State,83,74,
Dartmouth,Fordham,74,88,
North Greenville,Furman,55,91,
Virginia State,George Washington,58,85,
Western Carolina,Georgia,55,68,
Clayton State,Georgia Tech,63,93,
Siena,Holy Cross,75,68,
Green Bay,Indiana State,53,80,
Penn,Iona,50,78,
Bethune-Cookman,Iowa,58,89,
LaGrange,Kennesaw State,56,99,
Regent,Liberty,38,104,
Niagara,Maryland,49,71,
Central Connecticut,UMass,67,94,
Lafayette,Miami (FL),54,67,
Northern Arizona,Michigan State,55,73,
Texas A&M-Corpus Christi,Mississippi State,44,63,
Brandeis,New Hampshire,47,79,
Virginia-Lynchburg,Norfolk State,59,109,
Edward Waters,North Carolina A&T,61,100,
Kent State,Northern Kentucky,79,57,
Robert Morris,Ohio State,53,91,
Maryland-Eastern Shore,Old Dominion,65,84,
Winthrop,Penn State,68,93,
UT-Martin,Pitt,58,80,
Carolina,Presbyterian,42,76,
Hofstra,Princeton,83,77,
Marshall,Queens (NC),82,83,
Quinnipiac,Rhode Island,67,62,
VMI,Richmond,48,69,
Columbia,Rutgers,35,75,
NJIT,St. Peter's,59,73,
Brevard,USC Upstate,42,90,
Saint Francis (PA),St. Bonaventure,58,71,
Mount Saint Mary (NY),St. Francis (NY),56,94,
Wagner,Temple,76,73,
Valparaiso,Toledo,70,85,
Albany (NY),Towson,62,67,
Montevallo,Troy,67,87,
LIU,Utah,48,89,
Brown,Vermont,65,80,
Manhattan,VCU,56,73,
Texas State,Washington State,61,83,
Mount St. Mary's,West Virginia,58,76,
Navy,William & Mary,74,59,
Bob Jones University,Wofford,48,120,
Morgan State,Xavier,73,96,
Sarah Lawrence,Yale,41,96,
Jackson State,Abilene Christian,56,65,
Harding,Arkansas State,55,86,
Cornell,Boston College,77,79,
Wisconsin-Parkside,Bradley,59,93,
St. Augustine's,Campbell,62,79,
UNC Asheville,UCF,98,95,
UC-Riverside,Colorado,66,82,
Stony Brook,Florida,45,81,
Coastal Georgia,Georgia State,59,76,
North Texas at Dallas,Grambling,57,82,
Pfeiffer,High Point,71,109,
Trinity Christian,UIC,48,82,
Western Illinois,Illinois State,71,68,
North Dakota,Incarnate Word,65,57,
IUPUI,Iowa State,39,88,
St. Thomas (TX),Lamar,61,63,
Centenary (LA),Louisiana,55,106,
FDU,Loyola (IL),82,88,
Radford,Marquette,69,79,
Champion Christian,McNeese State,54,110,
Evansville,Miami (OH),78,74,
Southern Indiana,Missouri,91,97,
Lincoln (MO),Kansas City,59,56,
Maine,Nebraska,66,79,
Oakwood,North Alabama,51,108,
Austin Peay,NC State,50,99,
Southern Nazarene,North Texas,47,53,
Illinois-Springfield,Northern Illinois,83,77,
Wartburg,Northern Iowa,49,105,
Chicago State,Northwestern,54,85,
Sam Houston,Oklahoma,52,51,
Murray State,Saint Louis,68,91,
Anderson (SC),Samford,85,109,
Southeast Missouri State,South Florida,64,61,
Loyola (LA),Southeastern Louisiana,72,90,
Little Rock,Southern Illinois,63,94,
Harris-Stowe,SIU-Edwardsville,57,85,
Texas A&M-Commerce,SMU,60,77,
William Carey,Southern Miss,42,75,
Lehigh,Syracuse,72,90,
Louisiana-Monroe,Texas A&M,54,87,
Trinity (TX),UTSA,47,74,
UMBC,Tulane,67,89,
Memphis,Vanderbilt,76,67,
Fairfield,Wake Forest,59,71,
Central Arkansas,Wichita State,55,79,
South Dakota,Wisconsin,59,85,
Idaho State,BYU,56,60,
Gardner-Webb,Colorado State,63,65,
Montana State,Grand Canyon,54,60,
