School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,30,-2.79,0.90,2249,2133,1210,727,1526,.476,188,517,.364,491,687,.715,240,1008,374,167,98,530,573,812,1800,.451,211,613,.344,414,573,.723,307,972,471,264,71,379,617
Air Force,32,2.00,2.12,2142,2146,1295,764,1718,.445,166,566,.293,452,604,.748,293,1036,323,183,99,352,545,756,1636,.462,261,733,.356,369,511,.722,213,946,491,184,127,391,544
Akron,33,4.19,-1.65,2463,2209,1330,802,1873,.428,229,669,.342,376,512,.734,296,1081,370,190,99,407,608,844,1898,.445,300,845,.355,475,643,.739,335,1178,443,199,87,370,529
Alabama,37,23.19,9.65,3027,2526,1510,885,2387,.371,202,715,.283,554,779,.711,452,1383,364,268,142,434,737,1023,2314,.442,366,1093,.335,615,848,.725,484,1652,555,224,189,512,691
Alabama A&M,33,-10.78,-7.71,2297,2340,1336,781,1842,.424,251,735,.341,527,743,.709,399,1179,420,258,115,510,581,823,1868,.441,226,610,.370,425,649,.655,334,1079,419,264,133,498,624
Alabama State,31,-16.33,-6.29,1963,2252,1245,801,1839,.436,216,635,.340,434,632,.687,375,1184,367,218,153,379,513,683,1821,.375,185,605,.306,412,584,.705,387,1117,309,182,110,414,557
Albany (NY),31,-14.36,-4.53,2086,2332,1245,836,1704,.491,201,571,.352,459,630,.729,256,1040,450,203,111,364,507,726,1755,.414,237,725,.327,397,550,.722,317,1033,363,178,51,414,576
Alcorn State,32,-8.74,-5.81,2165,2259,1301,778,1741,.447,233,707,.330,470,683,.688,322,1077,458,183,109,463,565,763,1868,.408,164,554,.296,475,659,.721,384,1087,316,257,80,404,605
American,32,-8.26,-7.73,2093,2110,1300,754,1665,.453,216,561,.385,386,534,.723,275,931,394,264,75,390,486,785,1630,.482,204,589,.346,319,455,.701,259,970,436,238,126,448,482
Appalachian State,32,-1.50,-0.98,2248,2067,1290,753,1870,.403,235,729,.322,326,456,.715,322,1152,378,192,76,399,512,819,1854,.442,243,726,.335,367,543,.676,288,1142,417,204,146,352,442
Arizona,35,19.08,8.34,2866,2490,1400,905,2216,.408,277,858,.323,403,565,.713,360,1163,443,276,122,431,671,1023,2072,.494,295,781,.378,525,742,.708,356,1376,662,213,110,468,593
Arizona State,36,11.29,8.18,2559,2447,1455,836,2096,.399,279,818,.341,496,702,.707,423,1382,458,219,107,505,652,910,2163,.421,274,851,.322,465,675,.689,395,1315,515,255,170,422,668
Arkansas,36,15.99,9.87,2666,2446,1445,847,1996,.424,189,608,.311,563,788,.714,348,1189,382,241,103,519,681,961,2063,.466,179,572,.313,565,810,.698,373,1272,462,302,182,458,694
Arkansas State,33,-8.07,-3.30,2169,2232,1325,778,1776,.438,219,596,.367,457,615,.743,298,1093,378,199,112,382,549,777,1799,.432,209,593,.352,406,600,.677,325,1108,433,220,108,385,553
Arkansas-Pine Bluff,31,-12.99,-5.36,2074,2162,1250,738,1689,.437,197,603,.327,489,695,.704,287,1127,437,262,105,497,523,701,1791,.391,245,776,.316,427,587,.727,314,1071,396,250,86,473,611
Army,33,-7.13,-7.58,2412,2322,1330,852,1909,.446,243,733,.332,375,539,.696,262,1002,448,227,102,356,533,885,1853,.478,252,718,.351,390,570,.684,280,1132,432,168,70,427,532
Auburn,34,14.35,9.29,2474,2302,1365,788,1935,.407,192,667,.288,534,752,.710,401,1211,380,238,118,442,610,875,1991,.439,221,701,.315,503,723,.696,396,1231,479,263,172,414,655
Austin Peay,31,-12.17,-2.60,2067,2241,1245,796,1664,.478,202,593,.341,447,604,.740,291,1092,427,192,80,421,480,743,1790,.415,222,690,.322,359,495,.725,312,972,387,220,94,364,525
Ball State,32,-1.20,-3.50,2445,2292,1285,823,1873,.439,237,619,.383,409,561,.729,311,1054,306,198,79,373,650,841,1785,.471,240,651,.369,523,759,.689,337,1147,422,176,123,391,525
Baylor,34,17.30,10.54,2619,2389,1365,864,1902,.454,234,720,.325,427,595,.718,341,1086,518,208,97,460,624,880,1957,.450,323,878,.368,536,720,.744,391,1155,483,223,82,413,590
Bellarmine,33,-7.42,-1.35,2187,2216,1330,763,1717,.444,315,889,.354,375,520,.721,276,1039,448,179,67,394,491,797,1738,.459,264,752,.351,329,436,.755,217,960,467,184,45,368,522
Belmont,32,1.88,-1.93,2447,2299,1290,852,1895,.450,230,645,.357,365,547,.667,334,1127,420,184,111,406,478,898,1902,.472,307,791,.388,344,474,.726,267,1055,488,225,101,365,499
Bethune-Cookman,32,-17.15,-7.82,2172,2401,1285,845,1862,.454,242,686,.353,469,640,.733,368,1209,441,229,119,436,540,772,1863,.414,219,606,.361,409,586,.698,321,1038,362,231,90,413,555
Binghamton,31,-10.44,-5.51,2133,2217,1260,781,1786,.437,203,618,.328,452,619,.730,305,1042,322,229,95,334,506,794,1763,.450,172,533,.323,373,523,.713,301,1086,361,144,98,404,558
Boise State,34,12.78,6.21,2451,2198,1375,802,1933,.415,223,717,.311,371,528,.703,284,1096,364,176,109,401,569,878,1938,.453,265,733,.362,430,587,.733,307,1215,385,171,97,379,555
Boston College,33,1.09,4.73,2197,2317,1330,833,1882,.443,274,744,.368,377,519,.726,310,1122,408,219,109,406,505,819,1873,.437,188,590,.319,371,512,.725,308,1093,413,210,118,405,521
Boston University,32,-8.10,-6.52,2147,2151,1300,749,1725,.434,227,676,.336,426,618,.689,259,1077,371,199,124,397,508,761,1845,.412,238,722,.330,387,524,.739,328,1136,335,205,79,384,561
Bowling Green State,31,-8.46,-3.81,2355,2434,1240,866,1857,.466,253,708,.357,449,616,.729,298,1074,451,185,108,357,556,840,1859,.452,224,658,.340,451,622,.725,326,1109,428,188,93,378,550
Bradley,35,6.51,-0.67,2473,2195,1405,760,1875,.405,231,725,.319,444,592,.750,282,1107,371,222,85,442,555,917,1989,.461,276,777,.355,363,546,.665,341,1240,465,238,136,409,565
Brigham Young,34,9.43,5.40,2568,2376,1365,819,1898,.432,243,717,.339,495,712,.695,282,1084,411,248,87,463,605,913,2008,.455,276,812,.340,466,650,.717,374,1272,501,251,135,481,659
Brown,27,-2.47,-2.69,1878,1872,1086,689,1541,.447,200,571,.350,294,414,.710,218,929,325,183,82,374,459,682,1557,.438,216,622,.347,298,464,.642,241,942,372,194,87,361,438
Bryant,30,-3.59,-4.52,2381,2193,1205,778,1849,.421,237,719,.330,400,570,.702,284,1021,433,208,88,372,540,848,1821,.466,243,714,.340,442,602,.734,318,1179,403,200,106,402,518
Bucknell,32,-9.93,-6.96,2161,2192,1290,815,1846,.441,237,666,.356,325,506,.642,272,1020,453,247,100,332,472,797,1749,.456,235,660,.356,332,463,.717,260,1084,429,176,121,427,498
Buffalo,32,-2.97,0.67,2481,2485,1285,881,1942,.454,244,696,.351,479,682,.702,322,1125,469,210,104,447,551,906,2000,.453,224,696,.322,445,632,.704,377,1208,470,254,102,452,602
Butler,32,5.85,8.54,2088,2174,1280,838,1874,.447,200,623,.321,298,423,.704,328,1161,440,219,105,400,455,771,1767,.436,207,633,.327,339,459,.739,207,958,403,216,138,378,429
Cal Poly,33,-7.51,-0.54,2006,2174,1330,732,1689,.433,208,610,.341,502,695,.722,262,1069,373,205,98,408,575,715,1733,.413,181,615,.294,395,531,.744,281,1080,341,181,82,457,653
Cal State Bakersfield,33,-8.34,-1.47,1995,2134,1340,700,1639,.427,238,695,.342,496,694,.715,289,1067,373,193,81,445,510,732,1770,.414,142,437,.325,389,512,.760,311,1055,355,205,100,424,621
Cal State Fullerton,33,1.73,-0.27,2283,2148,1360,754,1812,.416,220,705,.312,420,591,.711,328,1153,372,199,97,466,633,779,1812,.430,253,686,.369,472,681,.693,303,1108,340,214,85,391,590
Cal State Northridge,32,-10.40,-1.74,2028,2194,1285,737,1729,.426,221,656,.337,499,666,.749,322,1126,397,174,86,383,573,695,1735,.401,184,575,.320,454,612,.742,313,1066,314,201,99,400,605
California,32,-3.36,8.43,1866,2243,1290,801,1772,.452,227,679,.334,414,578,.716,318,1137,413,185,130,332,526,662,1694,.391,156,524,.298,386,534,.723,278,1007,308,151,100,417,548
California Baptist,33,0.21,-0.69,2291,2156,1330,790,1863,.424,185,610,.303,391,538,.727,290,1118,365,181,86,358,596,811,1898,.427,276,837,.330,393,592,.664,362,1227,471,146,103,379,569
Campbell,34,-5.23,-4.89,2374,2329,1385,834,1837,.454,263,763,.345,398,573,.695,297,1084,408,205,115,420,620,830,1777,.467,228,683,.334,486,691,.703,267,1066,416,212,97,404,554
Canisius,30,-7.05,-3.46,2111,2169,1225,815,1747,.467,203,554,.366,334,478,.699,298,1073,400,189,96,395,473,763,1809,.422,255,734,.347,328,448,.732,313,1008,431,168,79,357,469
Central Arkansas,31,-13.72,-3.15,2261,2527,1255,923,1963,.470,279,769,.363,402,571,.704,337,1210,432,226,105,385,451,818,1987,.412,264,818,.323,361,482,.749,347,1128,384,202,98,413,508
Central Connecticut State,32,-13.68,-9.49,2111,2245,1295,821,1836,.447,242,683,.354,361,485,.744,302,1116,464,215,108,350,440,791,1874,.422,219,669,.327,310,437,.709,324,1092,412,179,122,380,451
Central Michigan,31,-11.97,-2.62,2038,2263,1245,769,1757,.438,255,735,.347,470,696,.675,350,1106,399,257,86,415,619,702,1688,.416,191,637,.300,443,642,.690,343,1096,333,181,118,494,614
Charleston Southern,31,-9.44,-4.47,2251,2305,1245,803,1747,.460,253,704,.359,446,619,.721,304,1048,410,172,91,350,477,819,1850,.443,251,731,.343,362,498,.727,360,1091,373,157,81,365,562
Charlotte,36,3.90,-0.46,2410,2253,1465,836,1912,.437,246,726,.339,335,459,.730,269,1074,347,197,98,402,490,885,1871,.473,291,772,.377,349,465,.751,231,1066,469,199,90,382,489
Chattanooga,35,-2.34,-3.34,2702,2523,1405,888,2099,.423,298,893,.334,449,586,.766,324,1185,404,219,85,369,588,924,2042,.452,398,1057,.377,456,639,.714,335,1268,536,200,121,407,552
Cincinnati,36,11.77,4.97,2776,2495,1450,915,2142,.427,209,669,.312,456,616,.740,348,1249,465,190,101,438,557,1022,2281,.448,314,894,.351,418,592,.706,403,1341,559,226,142,384,570
Clemson,34,10.53,3.71,2540,2308,1370,798,1970,.405,267,804,.332,445,604,.737,303,1128,395,191,87,383,576,899,1923,.467,282,775,.364,460,586,.785,252,1196,485,175,107,376,589
Cleveland State,35,-2.60,-5.05,2512,2405,1425,857,2022,.424,244,764,.319,447,611,.732,435,1246,427,216,136,488,565,958,2110,.454,178,580,.307,418,614,.681,438,1242,465,242,119,406,582
Coastal Carolina,31,-8.93,-1.75,2273,2294,1250,808,1893,.427,305,859,.355,373,520,.717,343,1098,447,206,100,358,498,816,1880,.434,223,705,.316,418,533,.784,349,1153,383,188,99,379,497
Colgate,35,2.20,-5.86,2733,2426,1400,937,2056,.456,270,753,.359,282,410,.688,287,1103,511,209,109,432,514,1042,2038,.511,286,709,.403,363,549,.661,279,1179,637,248,100,357,438
College of Charleston,35,8.40,-4.02,2804,2353,1410,899,2085,.431,205,671,.306,350,517,.677,319,1189,411,197,129,482,640,959,2202,.436,348,1051,.331,538,723,.744,472,1411,478,259,109,418,590
Colorado,35,11.17,8.39,2445,2348,1400,842,1982,.425,217,676,.321,447,623,.717,305,1175,393,249,140,470,602,894,2059,.434,229,712,.322,428,616,.695,388,1300,454,261,128,463,566
Colorado State,33,5.64,5.86,2391,2355,1336,827,1859,.445,295,809,.365,406,550,.738,302,1093,423,188,107,400,546,873,1790,.488,251,689,.364,394,529,.745,197,1014,545,187,81,368,537
