Home,Away
Alabama,Texas A&M-Corpus Christi
West Virginia,Maryland
San Diego State,College of Charleston
Virginia,Furman
Creighton,NC State
Baylor,UCSB
Utah State,Missouri
Arizona,Princeton
Purdue,Oregon
Memphis,Florida Atlantic
Duke,Oral Roberts
Tennessee,Louisiana
Kentucky,Providence
Kansas State,Montana State
Michigan State,USC
Marquette,Vermont
Houston,Northern Kentucky
Auburn,Iowa
Miami (FL),Drake
Indiana,Kent State
Iowa State,Pitt
Xavier,Kennesaw State
Texas A&M,Penn State
Texas,Colgate
Kansas,Howard
Arkansas,Illinois
Saint Mary's,VCU
UConn,Iona
TCU,Arizona State
Gonzaga,Grand Canyon
Boise State,Northwestern
UCLA,UNC Asheville
