Year,Home,Away,Tournament,Rank_Home,Team_Home,Seed_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rk_Home,G_Home,AdjOE_Home,AdjOE Rank_Home,AdjDE_Home,AdjDE Rank_Home,Barthag_Home,Barthag Rank_Home,EFG%_Home,EFG% Rank_Home,EFGD%_Home,EFGD% Rank_Home,TOR_Home,TOR Rank_Home,TORD_Home,TORD Rank_Home,ORB_Home,ORB Rank_Home,DRB_Home,DRB Rank_Home,FTR_Home,FTR Rank_Home,FTRD_Home,FTRD Rank_Home,2P%_Home,2P% Rank_Home,2P%D_Home,2P%D Rank_Home,3P%_Home,3P% Rank_Home,3P%D_Home,3P%D Rank_Home,3PR_Home,3PR Rank_Home,3PRD_Home,3PRD Rank_Home,Adj T._Home,Adj T. Rank_Home,WAB_Home,WAB Rank_Home,SRS_Home,SOS_Home,Tm._Home,Opp._Home,MP_Home,FG_opp_Home,FGA_opp_Home,FG%_opp_Home,3P_opp_Home,3PA_opp_Home,3P%_opp_Home,FT_opp_Home,FTA_opp_Home,FT%_opp_Home,ORB_opp_Home,TRB_opp_Home,AST_opp_Home,STL_opp_Home,BLK_opp_Home,TOV_opp_Home,PF_opp_Home,FG_Home,FGA_Home,FG%_Home,3P_Home,3PA_Home,FT_Home,FTA_Home,FT%_Home,TRB_Home,AST_Home,STL_Home,BLK_Home,TOV_Home,PF_Home,Rank_Away,Team_Away,Seed_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away,Rk_Away,G_Away,AdjOE_Away,AdjOE Rank_Away,AdjDE_Away,AdjDE Rank_Away,Barthag_Away,Barthag Rank_Away,EFG%_Away,EFG% Rank_Away,EFGD%_Away,EFGD% Rank_Away,TOR_Away,TOR Rank_Away,TORD_Away,TORD Rank_Away,ORB_Away,ORB Rank_Away,DRB_Away,DRB Rank_Away,FTR_Away,FTR Rank_Away,FTRD_Away,FTRD Rank_Away,2P%_Away,2P% Rank_Away,2P%D_Away,2P%D Rank_Away,3P%_Away,3P% Rank_Away,3P%D_Away,3P%D Rank_Away,3PR_Away,3PR Rank_Away,3PRD_Away,3PRD Rank_Away,Adj T._Away,Adj T. Rank_Away,WAB_Away,WAB Rank_Away,SRS_Away,SOS_Away,Tm._Away,Opp._Away,MP_Away,FG_opp_Away,FGA_opp_Away,FG%_opp_Away,3P_opp_Away,3PA_opp_Away,3P%_opp_Away,FT_opp_Away,FTA_opp_Away,FT%_opp_Away,ORB_opp_Away,TRB_opp_Away,AST_opp_Away,STL_opp_Away,BLK_opp_Away,TOV_opp_Away,PF_opp_Away,FG_Away,FGA_Away,FG%_Away,3P_Away,3PA_Away,FT_Away,FTA_Away,FT%_Away,TRB_Away,AST_Away,STL_Away,BLK_Away,TOV_Away,PF_Away
2024,UConn,Stetson,NCAA Tournament,1,UConn,1.0,BE,31,3,32.21,126.6,1,94.4,11,64.5,329,0.047,70,10.46,34,111.6,41,101.2,30,-3.36,285,2,34,127.0,1,93.5,11,0.9713,2,57.1,6,45.1,3,14.9,50,16.2,232,36.5,14,26.8,83,33.3,161,32.5,173,58.5,6,43.7,6,36.7,30,31.9,61,40.9,87,33.2,48,64.6,325,11.3,1,24.72,7.66,2770,2190,1360,767,1927,0.398,204,18.794117647058822,0.319,452,626,0.722,334,1022,10.382352941176471,187,2.8823529411764706,364,573,989,1994,0.496,299,23.970588235294116,493,664,0.742,1308,18.529411764705884,212,5.382352941176471,335,552,218,Stetson,16.0,ASun,22,12,-4.1,110.3,100,114.4,342,66.2,257,0.137,6,-3.33,267,105.3,219,108.6,314,4.74,74,231,31,108.2,118,113.9,346,0.3559,231,53.4,53,52.0,259,15.8,91,13.5,344,27.5,226,31.2,285,31.7,213,25.9,25,52.5,94,52.2,260,36.5,33,34.5,230,41.8,67,37.4,192,66.0,264,-6.8,137,-4.51,-3.86,2635,2475,1365,920,2098,0.439,267,23.5,0.334,368,516,0.713,376,1169,13.588235294117647,202,2.588235294117647,326,562,933,1998,0.467,310,24.61764705882353,459,599,0.766,1186,13.5,181,3.0588235294117645,355,504
2024,Florida Atlantic,Northwestern,NCAA Tournament,41,Florida Atlantic,8.0,Amer,25,8,16.24,119.0,16,102.7,109,68.1,138,-0.012,217,5.28,93,109.4,92,104.1,98,6.6,40,54,33,117.2,23,103.0,134,0.8166,54,55.0,24,49.7,130,15.8,91,16.5,207,33.8,38,29.2,189,34.8,125,27.5,52,56.0,16,49.3,127,35.6,84,33.6,155,38.8,135,36.3,135,67.9,144,1.2,41,13.89,4.62,2724,2418,1345,883,2027,0.436,247,22.21212121212121,0.337,405,557,0.727,357,1118,10.181818181818182,192,2.515151515151515,382,598,970,2017,0.481,279,23.727272727272727,505,703,0.718,1256,15.0,235,3.0303030303030303,367,529,46,Northwestern,9.0,B10,21,11,15.91,116.7,30,100.8,72,63.7,342,0.008,164,9.71,49,111.8,37,102.0,65,-7.39,355,31,32,117.2,24,99.2,64,0.8719,31,53.2,61,51.6,247,13.3,6,18.8,67,25.7,286,28.2,138,29.9,260,39.4,315,49.7,208,50.3,176,39.4,4,35.9,310,36.8,191,36.9,171,63.7,343,1.5,33,12.75,8.06,2358,2208,1300,755,1677,0.45,222,19.34375,0.359,476,661,0.72,286,1066,13.96875,152,3.71875,394,537,841,1832,0.459,266,21.09375,410,548,0.748,997,15.6875,222,3.28125,280,568
2024,San Diego State,UAB,NCAA Tournament,21,San Diego State,5.0,MWC,24,10,19.7,113.5,62,93.8,9,66.0,266,-0.032,268,11.03,25,112.7,16,101.7,47,10.7,9,29,32,111.5,69,93.8,14,0.8792,29,49.8,219,47.2,30,16.0,102,18.0,111,32.7,68,28.0,128,37.5,66,33.3,199,51.6,124,48.3,84,31.3,301,30.5,20,37.8,166,40.5,285,66.1,262,2.6,24,15.31,8.47,2536,2263,1385,787,1945,0.405,245,23.58823529411765,0.305,444,627,0.708,337,1137,11.352941176470589,202,3.2058823529411766,423,640,880,1999,0.44,236,22.205882352941178,540,737,0.733,1295,13.117647058823529,248,4.029411764705882,376,596,106,UAB,12.0,Amer,23,11,6.28,113.7,59,107.4,202,67.8,153,0.116,11,4.45,98,108.8,96,104.4,109,1.94,136,109,33,112.7,60,106.3,197,0.6632,109,50.1,206,51.0,207,16.7,159,16.1,241,35.3,22,31.0,274,40.5,20,31.4,140,50.4,170,50.2,170,33.1,220,35.0,253,31.3,310,36.7,154,67.7,157,-2.7,85,4.91,3.78,2561,2489,1340,894,2006,0.446,258,22.424242424242426,0.349,443,618,0.717,372,1143,13.212121212121213,230,4.0606060606060606,376,616,886,1969,0.45,200,18.757575757575758,589,788,0.747,1260,13.454545454545455,216,4.606060606060606,384,524
2024,Auburn,Yale,NCAA Tournament,4,Auburn,4.0,SEC,27,7,28.9,120.6,10,91.7,4,69.8,58,-0.067,324,9.6,53,111.9,35,102.3,71,1.45,152,5,34,120.6,10,92.0,6,0.9574,5,54.1,40,43.4,1,14.9,50,18.2,97,32.9,59,30.3,233,38.2,48,41.0,331,54.9,29,42.8,1,35.2,109,29.8,9,37.5,177,33.3,51,69.9,58,5.5,9,23.0,7.82,2747,2246,1320,736,1911,0.385,195,19.545454545454547,0.302,579,786,0.737,381,1137,9.575757575757576,215,3.1818181818181817,427,629,952,2007,0.474,267,22.90909090909091,576,768,0.75,1249,17.96969696969697,243,6.121212121212121,348,633,84,Yale,13.0,Ivy,22,9,9.47,110.8,89,101.4,90,64.5,327,0.001,177,2.09,127,108.3,102,106.2,176,5.38,61,85,29,109.8,96,100.0,79,0.7441,85,52.3,85,49.7,130,14.1,18,16.0,249,28.4,193,24.0,13,26.9,332,29.0,84,52.5,94,48.8,103,34.6,142,34.0,183,35.3,229,41.4,308,64.6,324,-2.5,82,5.05,-0.52,2268,2004,1220,709,1710,0.415,238,23.733333333333334,0.334,348,469,0.742,250,968,13.7,165,3.4,330,480,850,1799,0.472,218,20.866666666666667,350,491,0.713,1109,15.133333333333333,181,3.2,285,451
2024,BYU,Duquesne,NCAA Tournament,16,BYU,6.0,B12,23,10,21.01,120.5,11,99.5,48,69.1,85,-0.034,274,9.64,52,110.5,74,100.8,22,-5.5,327,18,33,120.6,11,99.0,59,0.907,18,55.1,22,48.0,52,15.2,63,16.0,249,32.8,64,24.7,23,25.3,347,32.1,163,58.0,8,48.2,78,34.8,129,31.8,57,50.7,2,34.1,69,69.0,90,2.9,21,20.36,8.42,2701,2307,1320,830,1947,0.426,211,20.09090909090909,0.318,436,625,0.698,300,1107,11.878787878787879,199,2.212121212121212,370,503,970,2098,0.462,370,32.21212121212121,391,530,0.738,1308,18.575757575757574,196,3.0,352,584,86,Duquesne,11.0,A10,24,11,9.37,106.9,166,97.5,28,66.3,251,0.049,66,4.86,97,109.1,94,104.2,103,1.85,140,75,34,106.3,155,96.1,26,0.7609,75,50.1,206,48.0,52,17.5,205,19.5,47,29.9,137,30.0,221,33.1,164,35.3,251,49.6,212,48.4,88,33.9,179,31.7,53,39.7,115,37.3,190,66.3,253,-1.8,76,7.32,3.92,2420,2260,1360,788,1874,0.42,224,20.558823529411764,0.32,460,656,0.701,353,1166,12.264705882352942,213,3.764705882352941,450,578,853,1936,0.441,259,22.38235294117647,455,634,0.718,1190,13.441176470588236,254,4.411764705882353,400,586
2024,Illinois,Morehead State,NCAA Tournament,10,Illinois,3.0,B10,26,8,23.99,125.6,3,101.6,93,69.9,56,-0.032,270,11.08,24,111.6,43,100.5,12,-2.25,261,12,34,125.3,3,101.1,97,0.9222,12,53.8,46,48.0,52,15.1,59,12.3,360,36.2,17,26.1,59,37.8,58,27.1,40,54.7,32,46.6,35,34.9,122,34.3,211,38.3,150,27.9,7,69.9,56,6.0,7,19.79,9.03,2777,2422,1330,909,2110,0.431,201,17.78787878787879,0.342,403,567,0.711,327,1087,11.666666666666666,184,3.242424242424242,291,617,966,2057,0.47,276,23.90909090909091,569,769,0.74,1368,12.969696969696969,142,3.757575757575758,357,503,111,Morehead State,14.0,OVC,26,8,5.47,109.0,124,103.5,120,64.2,335,0.044,80,-5.79,319,103.1,297,108.9,334,7.96,24,133,30,106.6,149,103.4,142,0.589,133,54.4,34,45.7,9,18.5,279,15.5,280,32.0,81,26.4,68,31.3,227,32.7,183,55.6,20,45.4,16,35.3,102,31.1,32,45.1,24,31.2,23,64.3,333,-3.4,88,0.7,-6.07,2566,2135,1360,757,1947,0.389,189,18.794117647058822,0.296,432,575,0.751,318,1036,9.029411764705882,202,2.4411764705882355,358,538,918,1956,0.469,318,25.941176470588236,412,584,0.705,1340,15.058823529411764,199,4.705882352941177,407,540
2024,Washington State,Drake,NCAA Tournament,42,Washington State,7.0,P12,24,9,16.22,113.4,64,97.2,27,64.8,316,0.021,130,6.98,84,109.9,86,103.0,84,-5.1,317,39,33,112.8,58,96.6,28,0.8558,39,52.1,92,47.3,34,16.1,108,15.9,256,32.9,59,24.9,28,31.7,213,32.7,183,52.6,85,46.9,45,34.0,174,32.0,68,32.0,301,31.5,28,64.9,314,1.9,29,14.28,6.86,2452,2207,1330,786,1863,0.422,188,17.78787878787879,0.32,447,608,0.735,289,1043,10.545454545454545,185,2.6363636363636362,351,561,905,1940,0.466,211,18.818181818181817,431,615,0.701,1244,12.545454545454545,173,4.848484848484849,357,553,51,Drake,10.0,MVC,28,6,14.71,115.6,38,100.9,75,67.8,150,0.065,43,2.6,120,107.8,116,105.2,132,-1.46,243,49,33,114.8,38,100.1,81,0.8284,49,54.9,27,51.0,207,13.9,14,17.4,140,24.2,312,22.1,1,32.6,184,31.0,133,55.1,23,51.9,244,36.5,33,33.0,120,39.6,119,39.3,250,67.8,154,1.7,32,11.19,1.52,2736,2397,1395,864,1945,0.444,250,22.38235294117647,0.329,419,596,0.703,263,1107,10.529411764705882,187,2.6176470588235294,418,588,967,2020,0.479,295,23.647058823529413,507,667,0.76,1170,15.911764705882353,219,1.5588235294117647,329,549
2024,Iowa State,South Dakota State,NCAA Tournament,5,Iowa State,2.0,B12,27,7,26.72,113.9,55,87.1,1,67.3,179,0.012,155,10.38,37,111.0,58,100.6,15,-7.2,351,4,34,113.6,51,86.5,2,0.9583,4,51.9,107,47.1,28,15.7,82,25.7,2,31.6,94,29.4,197,36.1,91,35.2,249,51.7,118,46.9,45,34.9,122,31.5,48,32.0,301,45.0,353,67.6,170,6.9,4,23.02,8.76,2569,2084,1360,699,1748,0.4,248,23.147058823529413,0.315,438,615,0.712,329,1125,12.088235294117647,209,3.4705882352941178,596,627,923,1992,0.463,222,18.735294117647058,501,719,0.697,1157,15.764705882352942,355,3.0588235294117645,363,560,134,South Dakota State,15.0,Sum,22,12,2.99,108.7,134,105.7,163,67.9,148,-0.018,233,-2.4,235,105.6,201,108.0,281,3.11,105,138,31,107.5,137,104.4,154,0.5833,138,55.3,18,50.8,195,16.4,134,16.5,207,24.4,302,25.3,34,30.4,248,27.4,46,55.9,18,49.0,111,36.2,48,35.2,265,40.2,103,47.1,361,67.9,146,-7.4,148,0.72,-3.16,2610,2408,1370,843,2022,0.417,330,28.08823529411765,0.346,392,526,0.745,305,1145,12.088235294117647,227,2.8529411764705883,386,587,954,1976,0.483,290,23.5,412,582,0.708,1212,12.794117647058824,209,3.235294117647059,380,488
2024,UNC,Wagner,NCAA Tournament,9,UNC,1.0,ACC,27,7,24.65,117.8,24,93.2,6,70.4,41,-0.024,249,11.24,21,112.4,21,101.2,32,7.07,36,9,34,116.8,26,93.2,8,0.9306,9,51.3,142,46.4,16,14.4,32,14.9,307,32.8,64,23.5,9,36.8,77,28.3,69,50.3,174,46.0,23,35.4,96,31.4,42,35.9,216,36.1,126,70.4,46,6.6,5,21.0,9.76,2770,2388,1365,854,2097,0.407,238,22.264705882352942,0.314,442,594,0.744,302,1146,10.205882352941176,191,3.8529411764705883,363,639,955,2125,0.449,270,22.441176470588236,590,783,0.754,1399,14.5,197,4.088235294117647,351,566,293,Wagner,16.0,NEC,16,15,-10.09,95.8,334,105.9,171,61.3,361,0.022,122,-8.19,352,100.2,354,108.4,301,-1.11,232,294,29,95.0,333,105.0,174,0.2398,294,44.6,353,48.4,70,15.9,96,17.0,166,29.5,149,27.0,92,26.8,334,29.9,107,42.8,358,50.9,203,31.6,291,29.9,10,38.2,154,41.2,305,61.3,361,-11.7,241,-10.86,-9.51,1970,1925,1255,698,1669,0.418,202,22.096774193548388,0.295,327,485,0.674,276,1083,13.451612903225806,149,3.2903225806451615,350,437,706,1800,0.392,223,22.322580645161292,335,472,0.71,1131,12.806451612903226,185,2.225806451612903,310,478
2024,Mississippi State,Michigan State,NCAA Tournament,30,Mississippi State,8.0,SEC,21,13,17.98,113.7,60,95.7,20,67.1,202,-0.044,290,11.15,22,112.6,18,101.4,39,0.7,173,30,34,112.6,61,94.9,19,0.8773,30,51.7,121,47.7,47,18.7,291,18.2,97,35.4,21,27.6,111,37.9,56,32.4,171,53.4,56,50.2,170,32.5,247,29.4,6,38.2,154,41.1,300,67.2,197,0.8,48,14.92,9.22,2542,2348,1365,817,1962,0.416,237,23.735294117647058,0.294,477,635,0.751,335,1105,11.647058823529411,249,3.7941176470588234,427,616,897,1973,0.455,245,22.176470588235293,503,748,0.672,1304,14.058823529411764,275,3.088235294117647,440,569,18,Michigan State,9.0,B10,19,14,20.03,113.8,57,93.7,8,65.2,305,-0.104,355,12.3,12,114.1,4,101.8,59,4.49,77,23,33,112.7,59,93.3,9,0.8984,23,51.5,130,48.0,52,14.7,42,18.7,71,29.9,137,28.7,163,29.9,260,32.6,176,50.5,165,47.1,49,35.9,65,32.8,112,30.2,326,41.3,307,65.3,303,0.2,55,17.9,10.72,2413,2176,1325,752,1824,0.412,247,22.818181818181817,0.328,425,595,0.714,326,1115,12.515151515151516,172,3.1515151515151514,412,563,896,1945,0.461,211,17.78787878787879,410,581,0.706,1143,16.303030303030305,238,3.878787878787879,323,546
