Favored,Underdog,Year,Tournament,Label,Win_Loss_Fav,Win_Loss,AdjEM_Fav,AdjEM,AdjO_Fav,AdjO,AdjD_Fav,AdjD,AdjT_Fav,AdjT,Luck_Fav,Luck,OppAdjEM_Fav,OppAdjEM,NCSOS AdjEM_Fav,NCSOS AdjEM,TOR_Fav,TOR,TORD_Fav,TORD,ORB_Fav,ORB,DRB_Fav,DRB,FTR_Fav,FTR,FTRD_Fav,FTRD,2P%_Fav,2P%,2P%D_Fav,2P%D,3P%D_Fav,3P%D,3PA_Fav,3PA,3PA_opp_Fav,3PA_opp,FT%_Fav,FT%,FT%_opp_Fav,FT%_opp,AST_Fav,AST,AST_opp_Fav,AST_opp,BLK_Fav,BLK,BLK_opp_Fav,BLK_opp
Duke,Kentucky,2022,,0,0.7931034482758621,0.7241379310344828,25.71,20.48,122.6,123.2,96.9,102.7,67.2,72.8,-0.056,-0.033,7.08,8.34,-0.46,-0.26,15.0,16.7,15.7,17.5,31.7,37.7,28.9,24.9,28.6,28.0,19.1,25.4,56.0,53.5,46.6,47.3,32.0,30.8,21.564102564102566,17.529411764705884,21.205128205128204,21.264705882352942,0.738,0.726,0.691,0.721,16.46153846153846,16.147058823529413,13.282051282051283,11.5,5.615384615384615,4.235294117647059,3.2051282051282053,2.9411764705882355
Villanova,UCLA,2022,,1,0.5862068965517241,0.4827586206896552,18.62,7.42,114.0,107.4,95.4,100.0,63.8,63.7,-0.073,-0.031,10.35,8.4,5.68,0.4,15.5,13.2,18.4,19.4,31.2,31.3,28.9,25.3,29.8,29.5,25.0,28.3,49.5,49.5,48.1,47.3,30.8,32.1,26.0,19.17142857142857,23.44736842105263,21.2,0.83,0.741,0.734,0.726,11.868421052631579,13.885714285714286,11.31578947368421,11.6,2.1842105263157894,3.3142857142857145,3.3684210526315788,3.1714285714285713
Gonzaga,Texas,2022,,0,0.8,0.6551724137931034,21.98,18.4,121.4,117.7,99.4,99.3,69.6,67.2,-0.05,-0.013,1.85,8.96,7.25,-3.7,15.7,17.8,16.3,23.0,29.1,31.6,23.4,29.8,30.6,32.0,22.7,39.0,60.4,50.5,41.8,46.6,30.5,31.8,22.125,20.029411764705884,21.59375,16.852941176470587,0.713,0.746,0.699,0.681,18.0625,13.235294117647058,10.1875,9.235294117647058,5.8125,3.3823529411764706,2.875,3.264705882352941
Wisconsin,Providence,2022,,1,0.6206896551724138,0.6206896551724138,18.84,12.57,119.5,109.9,100.7,97.3,65.0,68.1,-0.033,0.021,12.43,8.34,6.29,-3.05,13.0,17.0,17.0,15.6,25.9,30.3,24.4,27.4,32.4,37.0,27.2,27.0,48.7,49.0,49.0,47.1,32.5,30.0,21.09090909090909,21.393939393939394,19.03030303030303,21.424242424242426,0.743,0.728,0.683,0.696,11.06060606060606,13.242424242424242,11.545454545454545,11.181818181818182,2.9393939393939394,3.6666666666666665,3.303030303030303,3.696969696969697
Tennessee,Villanova,2022,,1,0.7931034482758621,0.5862068965517241,27.85,18.62,119.3,114.0,91.4,95.4,69.9,63.8,-0.029,-0.073,11.26,10.35,7.82,5.68,17.7,15.5,22.9,18.4,32.4,31.2,27.2,28.9,29.0,29.8,31.5,25.0,48.5,49.5,46.0,48.1,31.3,30.8,24.228571428571428,26.0,21.428571428571427,23.44736842105263,0.715,0.83,0.711,0.734,16.457142857142856,11.868421052631579,11.457142857142857,11.31578947368421,4.285714285714286,2.1842105263157894,2.8285714285714287,3.3684210526315788
Purdue,Villanova,2022,,0,0.896551724137931,0.5862068965517241,29.67,18.62,126.9,114.0,97.2,95.4,67.9,63.8,0.051,-0.073,12.42,10.35,10.5,5.68,17.5,15.5,14.0,18.4,35.2,31.2,23.8,28.9,38.2,29.8,21.6,25.0,55.8,49.5,48.6,48.1,33.2,30.8,22.16216216216216,26.0,24.405405405405407,23.44736842105263,0.711,0.83,0.721,0.734,16.243243243243242,11.868421052631579,13.594594594594595,11.31578947368421,3.4594594594594597,2.1842105263157894,2.4324324324324325,3.3684210526315788
Gonzaga,UCLA,2022,,0,0.8,0.4827586206896552,21.98,7.42,121.4,107.4,99.4,100.0,69.6,63.7,-0.05,-0.031,1.85,8.4,7.25,0.4,15.7,13.2,16.3,19.4,29.1,31.3,23.4,25.3,30.6,29.5,22.7,28.3,60.4,49.5,41.8,47.3,30.5,32.1,22.125,19.17142857142857,21.59375,21.2,0.713,0.741,0.699,0.726,18.0625,13.885714285714286,10.1875,11.6,5.8125,3.3142857142857145,2.875,3.1714285714285713
Houston,Wisconsin,2022,,1,0.896551724137931,0.6206896551724138,31.83,18.84,121.0,119.5,89.2,100.7,63.9,65.0,0.034,-0.033,9.38,12.43,-1.29,6.29,16.9,13.0,21.7,17.0,37.7,25.9,28.0,24.4,29.0,32.4,34.7,27.2,54.5,48.7,43.4,49.0,28.8,32.5,23.18421052631579,21.09090909090909,22.5,19.03030303030303,0.667,0.743,0.717,0.683,16.236842105263158,11.06060606060606,10.81578947368421,11.545454545454545,5.157894736842105,2.9393939393939394,2.3421052631578947,3.303030303030303
UConn,Auburn,2022,,0,0.896551724137931,0.7586206896551724,30.43,27.47,126.5,120.7,96.1,93.2,64.7,69.7,0.039,-0.081,7.5,8.78,-4.33,1.46,17.3,16.7,18.0,20.0,37.9,33.7,27.6,28.9,30.5,31.6,31.7,34.2,48.0,51.3,42.6,42.8,35.3,31.0,21.12121212121212,25.352941176470587,18.696969696969695,21.323529411764707,0.753,0.731,0.687,0.733,14.030303030303031,14.735294117647058,10.272727272727273,11.235294117647058,6.424242424242424,8.0,3.272727272727273,3.8529411764705883
Saint Mary's,Wisconsin,2022,,1,0.7741935483870968,0.6206896551724138,18.99,18.84,114.9,119.5,95.9,100.7,62.4,65.0,0.01,-0.033,1.81,12.43,4.96,6.29,17.0,13.0,19.2,17.0,27.4,25.9,21.7,24.4,23.3,32.4,25.1,27.2,52.5,48.7,47.0,49.0,34.3,32.5,20.470588235294116,21.09090909090909,15.176470588235293,19.03030303030303,0.758,0.743,0.721,0.683,13.470588235294118,11.06060606060606,8.529411764705882,11.545454545454545,2.5294117647058822,2.9393939393939394,3.0588235294117645,3.303030303030303
